CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Other Offences,280.0,20.0,260.0,265.0,10.0,3.0,,,,,6.0,AREA-B APAPA,2017
Armed Robbery,40.0,,40.0,48.0,2.0,,,,,3.0,,AREA-B APAPA,2017
Demanding With Menance,10.0,2.0,8.0,8.0,,,,,,,,AREA-B APAPA,2017
Theft and other Stealing,1120.0,96.0,1024.0,1184.0,25.0,7.0,,,,,3.0,AREA-B APAPA,2017
Burglary,100.0,6.0,94.0,102.0,,,,,,,7.0,AREA-B APAPA,2017
House Breaking,80.0,4.0,76.0,51.0,,,,,,,,AREA-B APAPA,2017
Store Breaking,55.0,,55.0,68.0,,,,,,,,AREA-B APAPA,2017
"False Pretences, Cheating",500.0,50.0,450.0,520.0,25.0,4.0,,,,,,AREA-B APAPA,2017
Forgery,54.0,3.0,51.0,56.0,3.0,,,,,,,AREA-B APAPA,2017
Receiving Stolen Property,32.0,,32.0,37.0,2.0,,,,,,,AREA-B APAPA,2017
Unlawful Possession,90.0,4.0,86.0,92.0,3.0,,,,,,,AREA-B APAPA,2017
Arson,35.0,4.0,31.0,35.0,,,,,,,,AREA-B APAPA,2017
Other Offences,250.0,32.0,218.0,330.0,20.0,,,,,,,AREA-B APAPA,2017
Forgery of Currency Notes,5.0,,5.0,5.0,,,,,,,,AREA-B APAPA,2017
Coining Offences,2.0,,2.0,2.0,1.0,,,,,,,AREA-B APAPA,2017
Gambling,8.0,,8.0,8.0,2.0,,,,,,,AREA-B APAPA,2017
Breach of Public Peace,622.0,50.0,572.0,624.0,19.0,,,,,,,AREA-B APAPA,2017
Perjury,5.0,,5.0,5.0,,,,,,,,AREA-B APAPA,2017
Bribery and Corruption,,,,,,,,,,,,AREA-B APAPA,2017
Escape from Lawful Custody,2.0,,2.0,2.0,,,,,,,,AREA-B APAPA,2017
Other Offences,60.0,6.0,54.0,83.0,3.0,,,,,,,AREA-B APAPA,2017
Offences Against Traffic Acts,25.0,,25.0,19.0,,,,,,,,AREA-B APAPA,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-B APAPA,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-B APAPA,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-B APAPA,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-B APAPA,2017
Narcotics,,,,,,,,,,,,AREA-B APAPA,2017
Other Offences,,,,,,,,,,,,AREA-B APAPA,2017
Murder,20.0,,20.0,20.0,,,,,,21.0,,AREA-C SURULERE,2017
Manslaughter,,,,,,,,,,,,AREA-C SURULERE,2017
Attempted Murder,3.0,,3.0,3.0,,,,,,,4.0,AREA-C SURULERE,2017
Suicide,4.0,,4.0,,,,,,,,,AREA-C SURULERE,2017
Attempted Suicide,,,,,,,,,,,,AREA-C SURULERE,2017
Grievous Harm and Wounding,500.0,50.0,450.0,600.0,36.0,6.0,,,,,6.0,AREA-C SURULERE,2017
Assaults,726.0,86.0,640.0,651.0,40.0,5.0,,,,,7.0,AREA-C SURULERE,2017
Child stealing,6.0,,6.0,8.0,,,,,,,,AREA-C SURULERE,2017
Slave Dealing,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2017
Rape and Incident Assault,50.0,1.0,49.0,60.0,,,,,,,,AREA-C SURULERE,2017
Kidnapping,5.0,,5.0,6.0,,,,,,,,AREA-C SURULERE,2017
Unnatural Offences,20.0,,20.0,24.0,3.0,,,,,,,AREA-C SURULERE,2017
Other Offences,253.0,29.0,224.0,300.0,9.0,,,,,,,AREA-C SURULERE,2017
Armed Robbery,30.0,,30.0,40.0,2.0,,,,,3.0,,AREA-C SURULERE,2017
Demanding With Menance,3.0,,3.0,3.0,,,,,,,,AREA-C SURULERE,2017
Theft and other Stealing,1230.0,140.0,1090.0,1350.0,20.0,4.0,,,,,3.0,AREA-C SURULERE,2017
Burglary,130.0,10.0,120.0,130.0,,,,,,,,AREA-C SURULERE,2017
House Breaking,44.0,2.0,42.0,44.0,,,,,,,7.0,AREA-C SURULERE,2017
Store Breaking,50.0,2.0,48.0,55.0,,,,,,,,AREA-C SURULERE,2017
"False Pretences, Cheating",570.0,40.0,530.0,580.0,10.0,,,,,,,AREA-C SURULERE,2017
Forgery,40.0,3.0,37.0,40.0,,,,,,,,AREA-C SURULERE,2017
Receiving Stolen Property,22.0,,22.0,22.0,2.0,,,,,,,AREA-C SURULERE,2017
Unlawful Possession,80.0,6.0,74.0,100.0,4.0,,,,,,,AREA-C SURULERE,2017
Arson,20.0,4.0,16.0,20.0,,,,,,,,AREA-C SURULERE,2017
Other Offences,300.0,25.0,275.0,450.0,15.0,4.0,,,,,,AREA-C SURULERE,2017
Forgery of Currency Notes,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2017
Coining Offences,,,,,,,,,,,,AREA-C SURULERE,2017
Gambling,5.0,,5.0,7.0,,,,,,,,AREA-C SURULERE,2017
Breach of Public Peace,600.0,60.0,540.0,650.0,6.0,7.0,,,,,,AREA-C SURULERE,2017
Perjury,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2017
Bribery and Corruption,,,,,,,,,,,,AREA-C SURULERE,2017
Escape from Lawful Custody,1.0,,1.0,1.0,,,,,,,,AREA-C SURULERE,2017
Other Offences,60.0,,60.0,70.0,2.0,,,,,,,AREA-C SURULERE,2017
Offences Against Traffic Acts,30.0,,30.0,30.0,,,,,,,,AREA-C SURULERE,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-C SURULERE,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-C SURULERE,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-C SURULERE,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-C SURULERE,2017
Narcotics,,,,,,,,,,,,AREA-C SURULERE,2017
Other Offences,,,,,,,,,,,,AREA-C SURULERE,2017
Murder,52.0,2.0,50.0,53.0,1.0,,,,,50.0,,AREA-D MUSHIN,2017
Manslaughter,3.0,,3.0,4.0,,,,,,3.0,,AREA-D MUSHIN,2017
Attempted Murder,4.0,,4.0,4.0,,,,,,,,AREA-D MUSHIN,2017
Suicide,8.0,,8.0,,,,,,,8.0,,AREA-D MUSHIN,2017
Attempted Suicide,1.0,,1.0,2.0,,,,,,,,AREA-D MUSHIN,2017
Grievous Harm and Wounding,1040.0,57.0,983.0,1060.0,40.0,20.0,5.0,,,,34.0,AREA-D MUSHIN,2017
Assaults,1200.0,120.0,1080.0,1250.0,55.0,22.0,9.0,,,,27.0,AREA-D MUSHIN,2017
Child stealing,12.0,2.0,10.0,13.0,4.0,,,,,,,AREA-D MUSHIN,2017
Slave Dealing,13.0,,13.0,17.0,,,,,,,,AREA-D MUSHIN,2017
Rape and Incident Assault,60.0,5.0,55.0,72.0,3.0,,,,,,,AREA-D MUSHIN,2017
Kidnapping,13.0,,13.0,15.0,2.0,,,,,,,AREA-D MUSHIN,2017
Unnatural Offences,49.0,4.0,45.0,60.0,8.0,1.0,,,,,,AREA-D MUSHIN,2017
Other Offences,400.0,36.0,364.0,450.0,21.0,9.0,,,,,10.0,AREA-D MUSHIN,2017
Armed Robbery,52.0,2.0,50.0,65.0,6.0,,,,,11.0,2.0,AREA-D MUSHIN,2017
Demanding With Menance,12.0,2.0,10.0,12.0,,,,,,,,AREA-D MUSHIN,2017
Theft and other Stealing,1500.0,150.0,1350.0,1828.0,42.0,25.0,6.0,,,,8.0,AREA-D MUSHIN,2017
Burglary,200.0,15.0,185.0,250.0,3.0,3.0,,,,,,AREA-D MUSHIN,2017
House Breaking,133.0,16.0,117.0,159.0,3.0,,,,,,,AREA-D MUSHIN,2017
Store Breaking,105.0,8.0,97.0,116.0,2.0,,,,,,,AREA-D MUSHIN,2017
"False Pretences, Cheating",1311.0,101.0,1210.0,1560.0,50.0,15.0,,,,,10.0,AREA-D MUSHIN,2017
Forgery,68.0,10.0,58.0,89.0,7.0,2.0,,,,,,AREA-D MUSHIN,2017
Receiving Stolen Property,59.0,4.0,55.0,62.0,3.0,2.0,,,,,,AREA-D MUSHIN,2017
Unlawful Possession,175.0,12.0,163.0,214.0,10.0,4.0,,,,,,AREA-D MUSHIN,2017
Arson,37.0,9.0,28.0,43.0,5.0,,,,,,,AREA-D MUSHIN,2017
Other Offences,225.0,35.0,190.0,245.0,27.0,5.0,,,,1.0,17.0,AREA-D MUSHIN,2017
Forgery of Currency Notes,6.0,,6.0,7.0,,,,,,,,AREA-D MUSHIN,2017
Coining Offences,5.0,,5.0,6.0,2.0,,,,,,,AREA-D MUSHIN,2017
Gambling,22.0,,20.0,24.0,5.0,,,,,,,AREA-D MUSHIN,2017
Breach of Public Peace,1329.0,169.0,1162.0,1405.0,30.0,8.0,3.0,,,,9.0,AREA-D MUSHIN,2017
Perjury,10.0,1.0,9.0,12.0,2.0,,,,,,,AREA-D MUSHIN,2017
Bribery and Corruption,2.0,,2.0,3.0,,,,,,,,AREA-D MUSHIN,2017
Escape from Lawful Custody,6.0,,6.0,7.0,1.0,,,,,,2.0,AREA-D MUSHIN,2017
Other Offences,162.0,12.0,150.0,166.0,8.0,2.0,,,,,2.0,AREA-D MUSHIN,2017
Offences Against Traffic Acts,56.0,2.0,54.0,60.0,3.0,,,8.0,,,,AREA-D MUSHIN,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-D MUSHIN,2017
Offences Against Liquor Acts,5.0,,5.0,5.0,,,,,,,,AREA-D MUSHIN,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-D MUSHIN,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-D MUSHIN,2017
Narcotics,,,,,,,,,,,,AREA-D MUSHIN,2017
Other Offences,,,,,,,,,,,,AREA-D MUSHIN,2017
Murder,12.0,,12.0,12.0,,,,,,12.0,,AREA-E FESTAC,2017
Manslaughter,,,,,,,,,,,,AREA-E FESTAC,2017
Attempted Murder,2.0,,2.0,2.0,,,,,,,,AREA-E FESTAC,2017
Suicide,1.0,,1.0,,,,,,,1.0,,AREA-E FESTAC,2017
Attempted Suicide,,,,,,,,,,,,AREA-E FESTAC,2017
Grievous Harm and Wounding,700.0,75.0,625.0,900.0,40.0,5.0,,,,,6.0,AREA-E FESTAC,2017
Assaults,820.0,80.0,740.0,850.0,60.0,5.0,,,,,3.0,AREA-E FESTAC,2017
Child stealing,4.0,,4.0,6.0,,,,,,,,AREA-E FESTAC,2017
Slave Dealing,,,,,,,,,,,,AREA-E FESTAC,2017
Rape and Incident Assault,30.0,,30.0,40.0,,,,,,,,AREA-E FESTAC,2017
Kidnapping,5.0,,5.0,5.0,,,,,,,,AREA-E FESTAC,2017
Unnatural Offences,15.0,,15.0,15.0,4.0,,,,,,,AREA-E FESTAC,2017
Other Offences,300.0,20.0,280.0,325.0,10.0,,,,,,,AREA-E FESTAC,2017
Armed Robbery,40.0,,40.0,45.0,2.0,,,,,,,AREA-E FESTAC,2017
Demanding With Menance,5.0,,5.0,5.0,,,,,,,,AREA-E FESTAC,2017
Theft and other Stealing,1200.0,94.0,1106.0,1300.0,40.0,,,,,,,AREA-E FESTAC,2017
Burglary,100.0,,100.0,110.0,,,,,,,,AREA-E FESTAC,2017
House Breaking,60.0,4.0,56.0,60.0,,,,,,,,AREA-E FESTAC,2017
Store Breaking,25.0,,25.0,35.0,,,,,,,,AREA-E FESTAC,2017
"False Pretences, Cheating",400.0,15.0,385.0,490.0,10.0,,,,,,,AREA-E FESTAC,2017
Forgery,1.0,,1.0,1.0,,,,,,,,AREA-E FESTAC,2017
Receiving Stolen Property,15.0,,15.0,15.0,,,,,,,,AREA-E FESTAC,2017
Unlawful Possession,60.0,2.0,58.0,70.0,4.0,,,,,,,AREA-E FESTAC,2017
Arson,15.0,1.0,14.0,15.0,,,,,,,,AREA-E FESTAC,2017
Other Offences,150.0,6.0,144.0,160.0,4.0,2.0,,,,,2.0,AREA-E FESTAC,2017
Forgery of Currency Notes,,,,,,,,,,,,AREA-E FESTAC,2017
Coining Offences,,,,,,,,,,,,AREA-E FESTAC,2017
Gambling,2.0,,2.0,2.0,,,,,,,,AREA-E FESTAC,2017
Breach of Public Peace,450.0,50.0,400.0,550.0,5.0,,,,,,,AREA-E FESTAC,2017
Perjury,1.0,,1.0,1.0,,,,,,,,AREA-E FESTAC,2017
Bribery and Corruption,,,,,,,,,,,,AREA-E FESTAC,2017
Escape from Lawful Custody,,,,,,,,,,,,AREA-E FESTAC,2017
Other Offences,40.0,3.0,37.0,45.0,2.0,,,,,,,AREA-E FESTAC,2017
Offences Against Traffic Acts,15.0,,15.0,15.0,,,,,,,,AREA-E FESTAC,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-E FESTAC,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-E FESTAC,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-E FESTAC,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-E FESTAC,2017
Narcotics,,,,,,,,,,,,AREA-E FESTAC,2017
Other Offences,,,,,,,,,,,,AREA-E FESTAC,2017
Murder,6.0,,6.0,6.0,,,,,,6.0,,AREA-F IKEJA,2017
Manslaughter,,,,,,,,,,,,AREA-F IKEJA,2017
Attempted Murder,,,,,,,,,,,,AREA-F IKEJA,2017
Suicide,1.0,,1.0,,,,,,,1.0,,AREA-F IKEJA,2017
Attempted Suicide,,,,,,,,,,,,AREA-F IKEJA,2017
Grievous Harm and Wounding,300.0,50.0,250.0,330.0,15.0,,,,,,,AREA-F IKEJA,2017
Assaults,500.0,40.0,460.0,500.0,20.0,,,,,,,AREA-F IKEJA,2017
Child stealing,,,,,,,,,,,,AREA-F IKEJA,2017
Slave Dealing,,,,,,,,,,,,AREA-F IKEJA,2017
Rape and Incident Assault,10.0,,10.0,10.0,,,,,,,,AREA-F IKEJA,2017
Kidnapping,,,,,,,,,,,,AREA-F IKEJA,2017
Unnatural Offences,5.0,,5.0,5.0,,,,,,,,AREA-F IKEJA,2017
Other Offences,160.0,4.0,156.0,180.0,2.0,,,,,,,AREA-F IKEJA,2017
Armed Robbery,8.0,,8.0,10.0,1.0,,,,,,,AREA-F IKEJA,2017
Demanding With Menance,3.0,,3.0,3.0,,,,,,,,AREA-F IKEJA,2017
Theft and other Stealing,940.0,38.0,902.0,966.0,10.0,4.0,,,,,,AREA-F IKEJA,2017
Burglary,60.0,,60.0,64.0,,,,,,,,AREA-F IKEJA,2017
House Breaking,30.0,,30.0,30.0,,,,,,,,AREA-F IKEJA,2017
Store Breaking,10.0,,10.0,12.0,,,,,,,,AREA-F IKEJA,2017
"False Pretences, Cheating",170.0,5.0,165.0,240.0,4.0,,,,,,,AREA-F IKEJA,2017
Forgery,30.0,,30.0,35.0,2.0,,,,,,,AREA-F IKEJA,2017
Receiving Stolen Property,5.0,,5.0,5.0,,,,,,,,AREA-F IKEJA,2017
Unlawful Possession,30.0,,30.0,35.0,2.0,,,,,,,AREA-F IKEJA,2017
Arson,2.0,,2.0,2.0,,,,,,,,AREA-F IKEJA,2017
Other Offences,100.0,3.0,97.0,126.0,4.0,,,,,,,AREA-F IKEJA,2017
Forgery of Currency Notes,,,,,,,,,,,,AREA-F IKEJA,2017
Coining Offences,,,,,,,,,,,,AREA-F IKEJA,2017
Gambling,1.0,,1.0,1.0,,,,,,,,AREA-F IKEJA,2017
Breach of Public Peace,280.0,30.0,250.0,300.0,2.0,,,,,,,AREA-F IKEJA,2017
Perjury,,,,,,,,,,,,AREA-F IKEJA,2017
Bribery and Corruption,,,,,,,,,,,,AREA-F IKEJA,2017
Escape from Lawful Custody,,,,,,,,,,,,AREA-F IKEJA,2017
Other Offences,30.0,2.0,28.0,32.0,,,,,,,,AREA-F IKEJA,2017
Offences Against Traffic Acts,5.0,,5.0,5.0,,,,,,,,AREA-F IKEJA,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-F IKEJA,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-F IKEJA,2017
Offences Against Dog Acts,1.0,,1.0,1.0,,,,,,,,AREA-F IKEJA,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-F IKEJA,2017
Narcotics,,,,,,,,,,,,AREA-F IKEJA,2017
Other Offences,,,,,,,,,,,,AREA-F IKEJA,2017
Murder,6.0,,6.0,6.0,,,,,,8.0,,AREA-G OGBA,2017
Manslaughter,,,,,,,,,,,,AREA-G OGBA,2017
Attempted Murder,,,,,,,,,,,,AREA-G OGBA,2017
Suicide,,,,,,,,,,,,AREA-G OGBA,2017
Attempted Suicide,,,,,,,,,,,,AREA-G OGBA,2017
Grievous Harm and Wounding,350.0,30.0,320.0,400.0,7.0,,,,,,,AREA-G OGBA,2017
Assaults,400.0,20.0,380.0,410.0,10.0,,,,,,,AREA-G OGBA,2017
Child stealing,,,,,,,,,,,,AREA-G OGBA,2017
Slave Dealing,,,,,,,,,,,,AREA-G OGBA,2017
Rape and Incident Assault,10.0,,10.0,15.0,,,,,,,,AREA-G OGBA,2017
Kidnapping,,,,,,,,,,,,AREA-G OGBA,2017
Unnatural Offences,5.0,,5.0,5.0,,,,,,,,AREA-G OGBA,2017
Other Offences,140.0,,140.0,145.0,2.0,,,,,,,AREA-G OGBA,2017
Armed Robbery,10.0,,10.0,13.0,,,,,,,,AREA-G OGBA,2017
Demanding With Menance,2.0,,2.0,2.0,,,,,,,,AREA-G OGBA,2017
Theft and other Stealing,1030.0,30.0,1000.0,1100.0,10.0,2.0,,,,,,AREA-G OGBA,2017
Burglary,60.0,,60.0,65.0,,,,,,,,AREA-G OGBA,2017
House Breaking,30.0,,30.0,30.0,,,,,,,,AREA-G OGBA,2017
Store Breaking,10.0,,10.0,12.0,,,,,,,,AREA-G OGBA,2017
"False Pretences, Cheating",200.0,2.0,198.0,220.0,2.0,,,,,,,AREA-G OGBA,2017
Forgery,20.0,,20.0,20.0,,,,,,,,AREA-G OGBA,2017
Receiving Stolen Property,4.0,,4.0,4.0,,,,,,,,AREA-G OGBA,2017
Unlawful Possession,20.0,,20.0,22.0,,,,,,,,AREA-G OGBA,2017
Arson,5.0,,5.0,5.0,,,,,,,,AREA-G OGBA,2017
Other Offences,100.0,2.0,98.0,114.0,3.0,,,,,,,AREA-G OGBA,2017
Forgery of Currency Notes,,,,,,,,,,,,AREA-G OGBA,2017
Coining Offences,,,,,,,,,,,,AREA-G OGBA,2017
Gambling,1.0,,1.0,1.0,,,,,,,,AREA-G OGBA,2017
Breach of Public Peace,290.0,30.0,260.0,300.0,3.0,,,,,,,AREA-G OGBA,2017
Perjury,,,,,,,,,,,,AREA-G OGBA,2017
Bribery and Corruption,,,,,,,,,,,,AREA-G OGBA,2017
Escape from Lawful Custody,,,,,,,,,,,,AREA-G OGBA,2017
Other Offences,20.0,1.0,19.0,21.0,,,,,,,,AREA-G OGBA,2017
Offences Against Traffic Acts,4.0,,4.0,4.0,,,,,,,,AREA-G OGBA,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-G OGBA,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-G OGBA,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-G OGBA,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-G OGBA,2017
Narcotics,,,,,,,,,,,,AREA-G OGBA,2017
Other Offences,,,,,,,,,,,,AREA-G OGBA,2017
Murder,8.0,,8.0,8.0,,,,,,12.0,,AREA-H OGUDU,2017
Manslaughter,,,,,,,,,,,,AREA-H OGUDU,2017
Attempted Murder,,,,,,,,,,,,AREA-H OGUDU,2017
Suicide,1.0,,1.0,,,,,,,1.0,,AREA-H OGUDU,2017
Attempted Suicide,,,,,,,,,,,,AREA-H OGUDU,2017
Grievous Harm and Wounding,460.0,40.0,420.0,500.0,8.0,,,,,,,AREA-H OGUDU,2017
Assaults,550.0,40.0,510.0,540.0,20.0,,,,,,,AREA-H OGUDU,2017
Child stealing,,,,,,,,,,,,AREA-H OGUDU,2017
Slave Dealing,,,,,,,,,,,,AREA-H OGUDU,2017
Rape and Incident Assault,20.0,,20.0,25.0,,,,,,,,AREA-H OGUDU,2017
Kidnapping,,,,,,,,,,,,AREA-H OGUDU,2017
Unnatural Offences,5.0,,5.0,5.0,,,,,,,,AREA-H OGUDU,2017
Other Offences,200.0,6.0,194.0,205.0,3.0,,,,,,,AREA-H OGUDU,2017
Armed Robbery,12.0,,12.0,13.0,,,,,,,,AREA-H OGUDU,2017
Demanding With Menance,2.0,,2.0,2.0,,,,,,,,AREA-H OGUDU,2017
Theft and other Stealing,1150.0,48.0,1102.0,1200.0,10.0,2.0,,,,,,AREA-H OGUDU,2017
Burglary,80.0,,80.0,85.0,,,,,,,,AREA-H OGUDU,2017
House Breaking,40.0,,40.0,40.0,,,,,,,,AREA-H OGUDU,2017
Store Breaking,15.0,,15.0,16.0,,,,,,,,AREA-H OGUDU,2017
"False Pretences, Cheating",230.0,3.0,227.0,240.0,4.0,,,,,,,AREA-H OGUDU,2017
Forgery,30.0,,30.0,30.0,,,,,,,,AREA-H OGUDU,2017
Receiving Stolen Property,6.0,,6.0,6.0,,,,,,,,AREA-H OGUDU,2017
Unlawful Possession,30.0,,30.0,33.0,,,,,,,,AREA-H OGUDU,2017
Arson,8.0,,8.0,8.0,,,,,,,,AREA-H OGUDU,2017
Other Offences,150.0,4.0,146.0,200.0,4.0,,,,,,,AREA-H OGUDU,2017
Forgery of Currency Notes,,,,,,,,,,,,AREA-H OGUDU,2017
Coining Offences,,,,,,,,,,,,AREA-H OGUDU,2017
Gambling,1.0,,1.0,1.0,,,,,,,,AREA-H OGUDU,2017
Breach of Public Peace,380.0,50.0,330.0,400.0,4.0,,,,,,,AREA-H OGUDU,2017
Perjury,,,,,,,,,,,,AREA-H OGUDU,2017
Bribery and Corruption,,,,,,,,,,,,AREA-H OGUDU,2017
Escape from Lawful Custody,,,,,,,,,,,,AREA-H OGUDU,2017
Other Offences,30.0,,30.0,32.0,,,,,,,,AREA-H OGUDU,2017
Offences Against Traffic Acts,6.0,,6.0,6.0,,,,,,,,AREA-H OGUDU,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-H OGUDU,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-H OGUDU,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-H OGUDU,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-H OGUDU,2017
Narcotics,,,,,,,,,,,,AREA-H OGUDU,2017
Other Offences,,,,,,,,,,,,AREA-H OGUDU,2017
Murder,5.0,,5.0,5.0,,,,,,5.0,,AREA-J ELEMORO,2017
