CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Murder,12.0,1.0,11.0,13.0,1.0,,,,,11.0,,AREA-A LION BUILDING,2017
Manslaughter,1.0,,1.0,1.0,,,,,,1.0,,AREA-A LION BUILDING,2017
Attempted Murder,3.0,1.0,2.0,2.0,,,,,,,,AREA-A LION BUILDING,2017
Suicide,4.0,,4.0,,,,,,,4.0,,AREA-A LION BUILDING,2017
Attempted Suicide,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2017
Grievous Harm and Wounding,500.0,50.0,450.0,520.0,20.0,4.0,1.0,1.0,,,9.0,AREA-A LION BUILDING,2017
Assaults,620.0,60.0,560.0,640.0,25.0,7.0,1.0,1.0,,,6.0,AREA-A LION BUILDING,2017
Child stealing,3.0,1.0,2.0,4.0,1.0,,,,,,,AREA-A LION BUILDING,2017
Slave Dealing,2.0,,2.0,3.0,1.0,,,,,,,AREA-A LION BUILDING,2017
Rape and Incident Assault,30.0,2.0,28.0,35.0,1.0,,,,,,,AREA-A LION BUILDING,2017
Kidnapping,2.0,,2.0,3.0,1.0,,,,,,,AREA-A LION BUILDING,2017
Unnatural Offences,20.0,1.0,19.0,21.0,2.0,1.0,1.0,,,,,AREA-A LION BUILDING,2017
Other Offences,205.0,10.0,195.0,230.0,9.0,4.0,1.0,,,,5.0,AREA-A LION BUILDING,2017
Armed Robbery,20.0,1.0,19.0,30.0,2.0,,,,,2.0,1.0,AREA-A LION BUILDING,2017
Demanding With Menance,5.0,1.0,4.0,5.0,2.0,,,,,,,AREA-A LION BUILDING,2017
Theft and other Stealing,878.0,70.0,808.0,1095.0,18.0,10.0,2.0,,,,3.0,AREA-A LION BUILDING,2017
Burglary,87.0,5.0,82.0,103.0,2.0,,,,,,,AREA-A LION BUILDING,2017
House Breaking,45.0,4.0,41.0,50.0,2.0,,,,,,,AREA-A LION BUILDING,2017
Store Breaking,30.0,2.0,28.0,35.0,1.0,,,,,,,AREA-A LION BUILDING,2017
"False Pretences, Cheating",402.0,20.0,382.0,450.0,15.0,3.0,2.0,,,,5.0,AREA-A LION BUILDING,2017
Forgery,25.0,3.0,22.0,32.0,2.0,1.0,,,,,,AREA-A LION BUILDING,2017
Receiving Stolen Property,16.0,1.0,15.0,20.0,1.0,1.0,,,,,,AREA-A LION BUILDING,2017
Unlawful Possession,50.0,2.0,48.0,60.0,4.0,1.0,,,,,,AREA-A LION BUILDING,2017
Arson,15.0,2.0,13.0,17.0,1.0,,,,,,,AREA-A LION BUILDING,2017
Other Offences,170.0,16.0,154.0,190.0,9.0,2.0,1.0,,,1.0,5.0,AREA-A LION BUILDING,2017
Forgery of Currency Notes,1.0,,1.0,2.0,,,,,,,,AREA-A LION BUILDING,2017
Coining Offences,1.0,,1.0,1.0,1.0,,,,,,,AREA-A LION BUILDING,2017
Gambling,4.0,,4.0,5.0,2.0,,,,,,,AREA-A LION BUILDING,2017
Breach of Public Peace,450.0,50.0,400.0,500.0,9.0,5.0,,,,,6.0,AREA-A LION BUILDING,2017
Perjury,2.0,,2.0,2.0,,,,,,,,AREA-A LION BUILDING,2017
Bribery and Corruption,,,,,,,,,,,,AREA-A LION BUILDING,2017
Escape from Lawful Custody,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2017
Other Offences,50.0,2.0,48.0,58.0,2.0,1.0,,,,,,AREA-A LION BUILDING,2017
Offences Against Traffic Acts,15.0,,15.0,15.0,1.0,,,,,,,AREA-A LION BUILDING,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-A LION BUILDING,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-A LION BUILDING,2017
Offences Against Dog Acts,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-A LION BUILDING,2017
Narcotics,,,,,,,,,,,,AREA-A LION BUILDING,2017
Other Offences,,,,,,,,,,,,AREA-A LION BUILDING,2017
Murder,24.0,2.0,22.0,24.0,,,,,,22.0,,AREA-B APAPA,2017
Manslaughter,1.0,,1.0,1.0,,,,,,1.0,,AREA-B APAPA,2017
Attempted Murder,2.0,,2.0,2.0,,,,,,,,AREA-B APAPA,2017
Suicide,1.0,,1.0,,,,,,,1.0,,AREA-B APAPA,2017
Attempted Suicide,,,,,,,,,,,,AREA-B APAPA,2017
Grievous Harm and Wounding,480.0,49.0,431.0,520.0,21.0,2.0,,,,,4.0,AREA-B APAPA,2017
Assaults,600.0,54.0,546.0,580.0,30.0,4.0,,,,,5.0,AREA-B APAPA,2017
Child stealing,5.0,,5.0,6.0,,,,,,,,AREA-B APAPA,2017
Slave Dealing,2.0,,2.0,2.0,,,,,,,,AREA-B APAPA,2017
Rape and Incident Assault,60.0,2.0,58.0,68.0,,,,,,,,AREA-B APAPA,2017
Kidnapping,7.0,,7.0,8.0,1.0,,,,,,,AREA-B APAPA,2017
Unnatural Offences,18.0,1.0,19.0,20.0,4.0,,,,,,,AREA-B APAPA,2017
