CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Gambling,1.0,,1.0,2.0,,,,,,,,AREA-C SURULERE,2018
Breach of Public Peace,340.0,42.0,298.0,350.0,18.0,2.0,,,,,3.0,AREA-C SURULERE,2018
Perjury,3.0,,3.0,4.0,,,,,,,,AREA-C SURULERE,2018
Bribery and Corruption,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2018
Escape from Lawful Custody,1.0,,1.0,1.0,,,,,,,,AREA-C SURULERE,2018
Other Offences,25.0,5.0,20.0,28.0,2.0,,,,,,,AREA-C SURULERE,2018
Offences Against Traffic Acts,10.0,,10.0,12.0,1.0,,,,,,,AREA-C SURULERE,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-C SURULERE,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-C SURULERE,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-C SURULERE,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-C SURULERE,2018
Narcotics,,,,,,,,,,,,AREA-C SURULERE,2018
Other Offences,,,,,,,,,,,,AREA-C SURULERE,2018
Murder,59.0,,59.0,55.0,5.0,,,,,59.0,,AREA-D MUSHIN,2018
Manslaughter,15.0,,15.0,16.0,,,,,,15.0,,AREA-D MUSHIN,2018
Attempted Murder,17.0,2.0,15.0,,,,,,,15.0,,AREA-D MUSHIN,2018
Suicide,20.0,,20.0,20.0,,,,,,,,AREA-D MUSHIN,2018
Attempted Suicide,580.0,55.0,525.0,445.0,90.0,10.0,5.0,,,7.0,20.0,AREA-D MUSHIN,2018
Grievous Harm and Wounding,621.0,70.0,551.0,540.0,28.0,15.0,3.0,,,7.0,35.0,AREA-D MUSHIN,2018
Assaults,10.0,,10.0,10.0,,,,,,,,AREA-D MUSHIN,2018
Child stealing,15.0,3.0,13.0,12.0,3.0,,,,,,,AREA-D MUSHIN,2018
Slave Dealing,13.0,,13.0,9.0,4.0,,,,,,,AREA-D MUSHIN,2018
Rape and Incident Assault,65.0,12.0,53.0,56.0,5.0,,,,,,,AREA-D MUSHIN,2018
Kidnapping,,,,,,,,,,,,AREA-D MUSHIN,2018
Unnatural Offences,62.0,9.0,53.0,60.0,4.0,,,,,,,AREA-D MUSHIN,2018
Other Offences,301.0,32.0,269.0,268.0,34.0,12.0,1.0,2.0,,,,AREA-D MUSHIN,2018
Armed Robbery,3.0,,3.0,10.0,3.0,,,,,5.0,,AREA-D MUSHIN,2018
Demanding With Menance,7.0,,7.0,8.0,,,,,,,,AREA-D MUSHIN,2018
Theft and other Stealing,1235.0,102.0,1133.0,1300.0,104.0,16.0,4.0,,,1.0,25.0,AREA-D MUSHIN,2018
Burglary,224.0,20.0,204.0,235.0,3.0,,,,,,,AREA-D MUSHIN,2018
House Breaking,148.0,13.0,135.0,153.0,,,,,,,,AREA-D MUSHIN,2018
Store Breaking,119.0,,119.0,130.0,,,,,,,,AREA-D MUSHIN,2018
"False Pretences, Cheating",1519.0,142.0,1377.0,1635.0,65.0,6.0,,,,,20.0,AREA-D MUSHIN,2018
Forgery,99.0,6.0,93.0,108.0,5.0,,,,,,,AREA-D MUSHIN,2018
Receiving Stolen Property,47.0,,47.0,67.0,7.0,,,,,,,AREA-D MUSHIN,2018
Unlawful Possession,170.0,14.0,156.0,185.0,18.0,,,,,,,AREA-D MUSHIN,2018
Arson,70.0,15.0,55.0,90.0,6.0,,,,,,,AREA-D MUSHIN,2018
Other Offences,680.0,54.0,626.0,830.0,32.0,5.0,,,,,6.0,AREA-D MUSHIN,2018
Forgery of Currency Notes,24.0,,24.0,38.0,5.0,,,,,,,AREA-D MUSHIN,2018
Coining Offences,2.0,,2.0,4.0,,,,,,,,AREA-D MUSHIN,2018
Gambling,15.0,,15.0,25.0,,,,,,,,AREA-D MUSHIN,2018
Breach of Public Peace,1280.0,75.0,,1320.0,68.0,9.0,,,,,18.0,AREA-D MUSHIN,2018
Perjury,10.0,,10.0,15.0,,,,,,,,AREA-D MUSHIN,2018
Bribery and Corruption,1.0,,1.0,2.0,,,,,,,,AREA-D MUSHIN,2018
Escape from Lawful Custody,4.0,,4.0,6.0,,,,,,,,AREA-D MUSHIN,2018
Other Offences,138.0,7.0,,168.0,16.0,,,,,,,AREA-D MUSHIN,2018
Offences Against Traffic Acts,85.0,,85.0,85.0,2.0,,,,,,,AREA-D MUSHIN,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-D MUSHIN,2018
Offences Against Liquor Acts,2.0,,2.0,2.0,,,,,,,,AREA-D MUSHIN,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-D MUSHIN,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-D MUSHIN,2018
Narcotics,,,,,,,,,,,,AREA-D MUSHIN,2018
Other Offences,,,,,,,,,,,,AREA-D MUSHIN,2018
Murder,15.0,,15.0,20.0,,,,,,15.0,,AREA-E FESTAC,2018
Manslaughter,4.0,,4.0,4.0,,,,,,4.0,,AREA-E FESTAC,2018
Attempted Murder,4.0,,4.0,6.0,,,,,,,,AREA-E FESTAC,2018
Suicide,10.0,3.0,7.0,,,,,,,7.0,,AREA-E FESTAC,2018
Attempted Suicide,15.0,3.0,12.0,13.0,,,,,,,,AREA-E FESTAC,2018
Grievous Harm and Wounding,369.0,70.0,299.0,335.0,22.0,8.0,4.0,3.0,,,15.0,AREA-E FESTAC,2018
Assaults,573.0,78.0,495.0,602.0,38.0,15.0,6.0,,,,12.0,AREA-E FESTAC,2018
Child stealing,15.0,2.0,13.0,18.0,1.0,,,,,,,AREA-E FESTAC,2018
Slave Dealing,7.0,,7.0,8.0,,,,,,,,AREA-E FESTAC,2018
Rape and Incident Assault,59.0,4.0,55.0,75.0,,,,,,,,AREA-E FESTAC,2018
Kidnapping,,,,,,,,,,,,AREA-E FESTAC,2018
Unnatural Offences,60.0,8.0,52.0,62.0,3.0,,,,,,,AREA-E FESTAC,2018
Other Offences,306.0,26.0,280.0,6.0,15.0,3.0,,,,,,AREA-E FESTAC,2018
Armed Robbery,1.0,,1.0,19.0,1.0,,,,,3.0,,AREA-E FESTAC,2018
Demanding With Menance,3.0,,3.0,3.0,,,,,,,,AREA-E FESTAC,2018
Theft and other Stealing,920.0,63.0,857.0,1100.0,40.0,15.0,2.0,,,,,AREA-E FESTAC,2018
Burglary,70.0,8.0,62.0,72.0,2.0,,,,,,,AREA-E FESTAC,2018
House Breaking,50.0,5.0,45.0,55.0,,,,,,,,AREA-E FESTAC,2018
Store Breaking,30.0,1.0,29.0,40.0,,,,,,,,AREA-E FESTAC,2018
"False Pretences, Cheating",280.0,23.0,257.0,300.0,10.0,1.0,,,,,3.0,AREA-E FESTAC,2018
Forgery,25.0,2.0,23.0,29.0,1.0,,,,,,,AREA-E FESTAC,2018
Receiving Stolen Property,15.0,,15.0,20.0,2.0,,,,,,,AREA-E FESTAC,2018
Unlawful Possession,90.0,8.0,82.0,108.0,5.0,,,,,,,AREA-E FESTAC,2018
Arson,21.0,3.0,18.0,23.0,3.0,,,,,,,AREA-E FESTAC,2018
Other Offences,240.0,19.0,221.0,286.0,17.0,2.0,,,,,4.0,AREA-E FESTAC,2018
Forgery of Currency Notes,18.0,,18.0,26.0,,,,,,,,AREA-E FESTAC,2018
Coining Offences,,,,,,,,,,,,AREA-E FESTAC,2018
Gambling,8.0,,8.0,12.0,,,,,,,,AREA-E FESTAC,2018
Breach of Public Peace,820.0,85.0,735.0,900.0,18.0,4.0,,,,,5.0,AREA-E FESTAC,2018
Perjury,4.0,,4.0,5.0,,,,,,,,AREA-E FESTAC,2018
Bribery and Corruption,,,,,,,,,,,,AREA-E FESTAC,2018
Escape from Lawful Custody,1.0,,1.0,2.0,,,,,,,,AREA-E FESTAC,2018
Other Offences,56.0,2.0,54.0,78.0,4.0,,,,,,,AREA-E FESTAC,2018
Offences Against Traffic Acts,22.0,,22.0,18.0,,,,,,,,AREA-E FESTAC,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-E FESTAC,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-E FESTAC,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-E FESTAC,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-E FESTAC,2018
Narcotics,,,,,,,,,,,,AREA-E FESTAC,2018
Other Offences,,,,,,,,,,,,AREA-E FESTAC,2018
Murder,10.0,,10.0,15.0,,,,,,10.0,,AREA-F IKEJA,2018
Manslaughter,3.0,,3.0,3.0,,,,,,2.0,,AREA-F IKEJA,2018
Attempted Murder,2.0,,2.0,2.0,,,,,,5.0,,AREA-F IKEJA,2018
Suicide,6.0,1.0,5.0,,,,,,,,,AREA-F IKEJA,2018
Attempted Suicide,5.0,1.0,4.0,4.0,,,,,,,,AREA-F IKEJA,2018
Grievous Harm and Wounding,400.0,33.0,367.0,430.0,19.0,12.0,4.0,4.0,,,5.0,AREA-F IKEJA,2018
Assaults,380.0,49.0,331.0,400.0,30.0,8.0,3.0,,,,10.0,AREA-F IKEJA,2018
Child stealing,12.0,1.0,11.0,14.0,,,,,,,,AREA-F IKEJA,2018
Slave Dealing,4.0,,4.0,8.0,,,,,,,,AREA-F IKEJA,2018
Rape and Incident Assault,60.0,1.0,59.0,65.0,,,,,,,,AREA-F IKEJA,2018
Kidnapping,,,,,,,,,,,,AREA-F IKEJA,2018
Unnatural Offences,47.0,8.0,39.0,56.0,1.0,,,,,,,AREA-F IKEJA,2018
Other Offences,180.0,12.0,168.0,200.0,7.0,3.0,,,,,,AREA-F IKEJA,2018
Armed Robbery,,,,,,,,,,,,AREA-F IKEJA,2018
Demanding With Menance,1.0,,1.0,1.0,,,,,,,,AREA-F IKEJA,2018
Theft and other Stealing,697.0,68.0,629.0,860.0,30.0,5.0,2.0,,,,10.0,AREA-F IKEJA,2018
Burglary,76.0,14.0,62.0,86.0,,,,,,,,AREA-F IKEJA,2018
House Breaking,38.0,3.0,35.0,55.0,,,,,,,,AREA-F IKEJA,2018
Store Breaking,20.0,1.0,19.0,30.0,,,,,,,,AREA-F IKEJA,2018
"False Pretences, Cheating",220.0,18.0,202.0,210.0,10.0,1.0,,,,,,AREA-F IKEJA,2018
Forgery,15.0,3.0,12.0,13.0,2.0,,,,,,,AREA-F IKEJA,2018
Receiving Stolen Property,8.0,,8.0,10.0,2.0,,,,,,,AREA-F IKEJA,2018
Unlawful Possession,45.0,4.0,41.0,56.0,4.0,,,,,,,AREA-F IKEJA,2018
Arson,2.0,,2.0,3.0,1.0,,,,,,,AREA-F IKEJA,2018
Other Offences,84.0,10.0,74.0,85.0,7.0,2.0,,,,,,AREA-F IKEJA,2018
Forgery of Currency Notes,6.0,,6.0,8.0,,,,,,,,AREA-F IKEJA,2018
Coining Offences,,,,,,,,,,,,AREA-F IKEJA,2018
Gambling,3.0,,3.0,4.0,,,,,,,,AREA-F IKEJA,2018
Breach of Public Peace,202.0,32.0,170.0,200.0,12.0,2.0,,,,,,AREA-F IKEJA,2018
Perjury,1.0,,1.0,2.0,,,,,,,,AREA-F IKEJA,2018
Bribery and Corruption,,,,,,,,,,,,AREA-F IKEJA,2018
Escape from Lawful Custody,,,,,,,,,,,,AREA-F IKEJA,2018
Other Offences,10.0,,10.0,15.0,2.0,,,,,,,AREA-F IKEJA,2018
Offences Against Traffic Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Narcotics,,,,,,,,,,,,AREA-F IKEJA,2018
Other Offences,,,,,,,,,,,,AREA-F IKEJA,2018
Murder,8.0,,8.0,10.0,,,,,,8.0,,AREA-G OGBA,2018
Manslaughter,2.0,,2.0,2.0,,,,,,2.0,,AREA-G OGBA,2018
Attempted Murder,4.0,,4.0,4.0,,,,,,,,AREA-G OGBA,2018
Suicide,10.0,2.0,8.0,,,,,,,9.0,,AREA-G OGBA,2018
Attempted Suicide,2.0,1.0,1.0,1.0,,,,,,,,AREA-G OGBA,2018
Grievous Harm and Wounding,290.0,36.0,254.0,300.0,10.0,6.0,5.0,,,,7.0,AREA-G OGBA,2018
Assaults,475.0,61.0,414.0,580.0,28.0,3.0,6.0,,,,6.0,AREA-G OGBA,2018
Child stealing,8.0,1.0,7.0,9.0,,,,,,,,AREA-G OGBA,2018
Slave Dealing,4.0,,4.0,5.0,,,,,,,,AREA-G OGBA,2018
Rape and Incident Assault,37.0,1.0,36.0,45.0,,,,,,,,AREA-G OGBA,2018
Kidnapping,,,,,,,,,,,,AREA-G OGBA,2018
Unnatural Offences,10.0,2.0,8.0,14.0,1.0,,,,,,,AREA-G OGBA,2018
Other Offences,153.0,18.0,135.0,174.0,7.0,4.0,,,,,,AREA-G OGBA,2018
Armed Robbery,,,,,,,,,,,,AREA-G OGBA,2018
Demanding With Menance,2.0,,2.0,2.0,,,,,,,,AREA-G OGBA,2018
Theft and other Stealing,810.0,69.0,741.0,870.0,25.0,4.0,,,,2.0,15.0,AREA-G OGBA,2018
Burglary,70.0,2.0,68.0,83.0,,,,,,,,AREA-G OGBA,2018
House Breaking,39.0,3.0,36.0,50.0,,,,,,,,AREA-G OGBA,2018
Store Breaking,19.0,2.0,17.0,30.0,,,,,,,,AREA-G OGBA,2018
"False Pretences, Cheating",170.0,20.0,150.0,183.0,10.0,5.0,,,,,11.0,AREA-G OGBA,2018
Forgery,9.0,1.0,8.0,12.0,1.0,,,,,,,AREA-G OGBA,2018
Receiving Stolen Property,7.0,,7.0,9.0,1.0,,,,,,,AREA-G OGBA,2018
Unlawful Possession,40.0,2.0,38.0,50.0,3.0,,,,,,,AREA-G OGBA,2018
Arson,10.0,1.0,9.0,10.0,2.0,,,,,,,AREA-G OGBA,2018
Other Offences,80.0,10.0,70.0,75.0,6.0,2.0,,,,,,AREA-G OGBA,2018
Forgery of Currency Notes,,,,,,,,,,,,AREA-G OGBA,2018
Coining Offences,,,,,,,,,,,,AREA-G OGBA,2018
Gambling,2.0,,2.0,2.0,,,,,,,,AREA-G OGBA,2018
Breach of Public Peace,225.0,32.0,193.0,220.0,10.0,4.0,,,,,,AREA-G OGBA,2018
Perjury,1.0,,1.0,1.0,,,,,,,,AREA-G OGBA,2018
Bribery and Corruption,,,,,,,,,,,,AREA-G OGBA,2018
Escape from Lawful Custody,,,,,,,,,,,,AREA-G OGBA,2018
Other Offences,15.0,2.0,13.0,20.0,4.0,,,,,,,AREA-G OGBA,2018
Offences Against Traffic Acts,2.0,,2.0,2.0,,,,,,,,AREA-G OGBA,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-G OGBA,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-G OGBA,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-G OGBA,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-G OGBA,2018
Narcotics,,,,,,,,,,,,AREA-G OGBA,2018
Other Offences,,,,,,,,,,,,AREA-G OGBA,2018
Murder,25.0,,25.0,25.0,,,,,,25.0,,AREA-H OGUDU,2018
Manslaughter,7.0,,7.0,5.0,,,,,,7.0,,AREA-H OGUDU,2018
Attempted Murder,2.0,,2.0,2.0,,,,,,,,AREA-H OGUDU,2018
Suicide,8.0,1.0,7.0,5.0,,,,,,7.0,,AREA-H OGUDU,2018
Attempted Suicide,7.0,1.0,6.0,7.0,,,,,,,,AREA-H OGUDU,2018
Grievous Harm and Wounding,530.0,40.0,490.0,567.0,20.0,10.0,,,,,15.0,AREA-H OGUDU,2018
Assaults,1025.0,105.0,920.0,1100.0,36.0,19.0,,,,,14.0,AREA-H OGUDU,2018
Child stealing,16.0,4.0,12.0,20.0,,,,,,,,AREA-H OGUDU,2018
Slave Dealing,4.0,,4.0,9.0,,,,,,,,AREA-H OGUDU,2018
Rape and Incident Assault,58.0,2.0,56.0,60.0,,,,,,,,AREA-H OGUDU,2018
Kidnapping,,,,,,,,,,,,AREA-H OGUDU,2018
Unnatural Offences,28.0,2.0,26.0,39.0,3.0,,,,,,,AREA-H OGUDU,2018
Other Offences,152.0,18.0,134.0,174.0,6.0,,,,,,,AREA-H OGUDU,2018
Armed Robbery,1.0,,1.0,19.0,,,,,,2.0,,AREA-H OGUDU,2018
Demanding With Menance,,,,,,,,,,,,AREA-H OGUDU,2018
Theft and other Stealing,809.0,66.0,743.0,890.0,30.0,26.0,,,,3.0,15.0,AREA-H OGUDU,2018
Burglary,90.0,4.0,86.0,100.0,,,,,,,,AREA-H OGUDU,2018
House Breaking,60.0,3.0,57.0,75.0,,,,,,,,AREA-H OGUDU,2018
Store Breaking,36.0,,36.0,50.0,,,,,,,,AREA-H OGUDU,2018
"False Pretences, Cheating",290.0,28.0,262.0,295.0,15.0,,,,,,,AREA-H OGUDU,2018
Forgery,20.0,2.0,18.0,24.0,1.0,,,,,,,AREA-H OGUDU,2018
Receiving Stolen Property,14.0,,14.0,15.0,2.0,,,,,,,AREA-H OGUDU,2018
Unlawful Possession,92.0,5.0,87.0,108.0,6.0,,,,,,,AREA-H OGUDU,2018
Arson,20.0,4.0,16.0,20.0,3.0,3.0,,,,,,AREA-H OGUDU,2018
Other Offences,170.0,18.0,152.0,160.0,10.0,,,,,,,AREA-H OGUDU,2018
Forgery of Currency Notes,6.0,,6.0,8.0,,,,,,,,AREA-H OGUDU,2018
