CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Murder,15.0,1.0,14.0,17.0,2.0,,,,,17.0,,AREA-A LION BUILDING,2016
Manslaughter,1.0,,1.0,2.0,,,,,,1.0,,AREA-A LION BUILDING,2016
Attempted Murder,4.0,,4.0,4.0,1.0,,,,,,,AREA-A LION BUILDING,2016
Suicide,5.0,,5.0,,,,,,,5.0,,AREA-A LION BUILDING,2016
Attempted Suicide,2.0,,2.0,2.0,,,,,,,,AREA-A LION BUILDING,2016
Grievous Harm and Wounding,500.0,40.0,460.0,400.0,30.0,6.0,1.0,1.0,,1.0,20.0,AREA-A LION BUILDING,2016
Assaults,700.0,50.0,650.0,600.0,40.0,3.0,2.0,1.0,,,23.0,AREA-A LION BUILDING,2016
Child stealing,6.0,2.0,4.0,6.0,3.0,,,,,,,AREA-A LION BUILDING,2016
Slave Dealing,9.0,1.0,8.0,11.0,1.0,,,,,,,AREA-A LION BUILDING,2016
Rape and Incident Assault,43.0,5.0,38.0,43.0,2.0,1.0,,,,,,AREA-A LION BUILDING,2016
Kidnapping,5.0,1.0,4.0,9.0,3.0,,,,,,,AREA-A LION BUILDING,2016
Unnatural Offences,21.0,2.0,19.0,20.0,3.0,1.0,,,,,3.0,AREA-A LION BUILDING,2016
Other Offences,265.0,31.0,234.0,266.0,5.0,4.0,1.0,,,1.0,4.0,AREA-A LION BUILDING,2016
Armed Robbery,13.0,1.0,12.0,20.0,4.0,,,,,2.0,5.0,AREA-A LION BUILDING,2016
Demanding With Menance,45.0,4.0,41.0,48.0,4.0,1.0,,,,,,AREA-A LION BUILDING,2016
Theft and other Stealing,840.0,59.0,781.0,862.0,34.0,4.0,1.0,,,,40.0,AREA-A LION BUILDING,2016
Burglary,112.0,7.0,105.0,83.0,5.0,2.0,,,,,,AREA-A LION BUILDING,2016
House Breaking,57.0,4.0,53.0,61.0,2.0,1.0,,,,,,AREA-A LION BUILDING,2016
Store Breaking,40.0,3.0,37.0,47.0,3.0,1.0,,,,,2.0,AREA-A LION BUILDING,2016
"False Pretences, Cheating",417.0,33.0,384.0,400.0,10.0,4.0,,,,,,AREA-A LION BUILDING,2016
Forgery,30.0,4.0,26.0,37.0,4.0,,,,,,,AREA-A LION BUILDING,2016
Receiving Stolen Property,9.0,2.0,7.0,15.0,2.0,,,,,,,AREA-A LION BUILDING,2016
Unlawful Possession,78.0,6.0,72.0,90.0,7.0,1.0,,,,,,AREA-A LION BUILDING,2016
Arson,24.0,4.0,20.0,16.0,1.0,,,,,,,AREA-A LION BUILDING,2016
Other Offences,210.0,22.0,188.0,200.0,10.0,3.0,,,,,7.0,AREA-A LION BUILDING,2016
Forgery of Currency Notes,10.0,,10.0,11.0,2.0,,,,,,,AREA-A LION BUILDING,2016
Coining Offences,2.0,1.0,1.0,3.0,2.0,,,,,,,AREA-A LION BUILDING,2016
Gambling,5.0,1.0,4.0,7.0,1.0,,,,,,,AREA-A LION BUILDING,2016
Breach of Public Peace,493.0,40.0,453.0,500.0,13.0,2.0,3.0,,,,4.0,AREA-A LION BUILDING,2016
Perjury,3.0,1.0,2.0,3.0,,,,,,,,AREA-A LION BUILDING,2016
Bribery and Corruption,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2016
Escape from Lawful Custody,4.0,1.0,3.0,6.0,,,,,,,,AREA-A LION BUILDING,2016
Other Offences,47.0,5.0,42.0,45.0,5.0,1.0,,,,,,AREA-A LION BUILDING,2016
Offences Against Traffic Acts,20.0,3.0,17.0,17.0,2.0,,,,,,,AREA-A LION BUILDING,2016
Offences Against Township Acts,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-A LION BUILDING,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-A LION BUILDING,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-A LION BUILDING,2016
Narcotics,,,,,,,,,,,,AREA-A LION BUILDING,2016
Other Offences,,,,,,,,,,,,AREA-A LION BUILDING,2016
Murder,10.0,,10.0,12.0,2.0,,,,,14.0,,AREA-B APAPA,2016
Manslaughter,1.0,,1.0,1.0,,,,,,1.0,,AREA-B APAPA,2016
Attempted Murder,5.0,,5.0,6.0,1.0,,,,,,,AREA-B APAPA,2016
Suicide,4.0,,4.0,,,,,,,4.0,,AREA-B APAPA,2016
Attempted Suicide,3.0,,3.0,3.0,1.0,,,,,,,AREA-B APAPA,2016
Grievous Harm and Wounding,372.0,37.0,335.0,338.0,29.0,10.0,3.0,,,1.0,20.0,AREA-B APAPA,2016
Assaults,690.0,40.0,650.0,600.0,40.0,5.0,4.0,,,,30.0,AREA-B APAPA,2016
Child stealing,6.0,1.0,5.0,7.0,1.0,,,,,,,AREA-B APAPA,2016
Slave Dealing,10.0,,10.0,11.0,1.0,,,,,,,AREA-B APAPA,2016
Rape and Incident Assault,43.0,6.0,37.0,45.0,2.0,1.0,,,,,,AREA-B APAPA,2016
Kidnapping,8.0,1.0,7.0,9.0,2.0,,,,,,,AREA-B APAPA,2016
Unnatural Offences,32.0,6.0,26.0,20.0,6.0,1.0,,,,,2.0,AREA-B APAPA,2016
Other Offences,265.0,30.0,235.0,206.0,8.0,4.0,1.0,,,2.0,5.0,AREA-B APAPA,2016
Armed Robbery,20.0,2.0,18.0,21.0,2.0,,,,,,2.0,AREA-B APAPA,2016
Demanding With Menance,48.0,3.0,45.0,49.0,4.0,2.0,,,,,,AREA-B APAPA,2016
Theft and other Stealing,780.0,60.0,720.0,860.0,34.0,7.0,,,,,45.0,AREA-B APAPA,2016
Burglary,110.0,6.0,104.0,80.0,5.0,1.0,,,,,,AREA-B APAPA,2016
House Breaking,60.0,4.0,56.0,62.0,4.0,1.0,,,,,,AREA-B APAPA,2016
Store Breaking,41.0,3.0,38.0,47.0,3.0,1.0,,,,,,AREA-B APAPA,2016
"False Pretences, Cheating",410.0,33.0,377.0,405.0,7.0,,,,,,,AREA-B APAPA,2016
Forgery,32.0,2.0,30.0,38.0,6.0,,,,,,,AREA-B APAPA,2016
Receiving Stolen Property,10.0,1.0,9.0,15.0,1.0,,,,,,,AREA-B APAPA,2016
Unlawful Possession,100.0,26.0,74.0,95.0,5.0,1.0,,,,,,AREA-B APAPA,2016
Arson,16.0,4.0,12.0,14.0,2.0,,,,,,,AREA-B APAPA,2016
Other Offences,205.0,20.0,185.0,213.0,10.0,2.0,1.0,,,,7.0,AREA-B APAPA,2016
Forgery of Currency Notes,10.0,2.0,8.0,12.0,,,,,,,,AREA-B APAPA,2016
Coining Offences,1.0,,1.0,1.0,1.0,,,,,,,AREA-B APAPA,2016
Gambling,12.0,,12.0,20.0,,,,,,,,AREA-B APAPA,2016
Breach of Public Peace,494.0,44.0,450.0,513.0,5.0,4.0,2.0,,,,3.0,AREA-B APAPA,2016
Perjury,5.0,1.0,4.0,6.0,1.0,,,,,,,AREA-B APAPA,2016
Bribery and Corruption,1.0,,1.0,1.0,,,,,,,,AREA-B APAPA,2016
Escape from Lawful Custody,7.0,1.0,6.0,8.0,1.0,,,,,,,AREA-B APAPA,2016
Other Offences,41.0,6.0,43.0,47.0,5.0,1.0,,,,,1.0,AREA-B APAPA,2016
Offences Against Traffic Acts,22.0,2.0,20.0,15.0,1.0,,,,,,,AREA-B APAPA,2016
Offences Against Township Acts,1.0,,1.0,1.0,,,,,,,,AREA-B APAPA,2016
Offences Against Liquor Acts,1.0,,1.0,1.0,,,,,,,,AREA-B APAPA,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-B APAPA,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-B APAPA,2016
Narcotics,1.0,,1.0,3.0,,,,,,,,AREA-B APAPA,2016
Other Offences,3.0,,3.0,4.0,,,,,,,,AREA-B APAPA,2016
Murder,28.0,,28.0,29.0,1.0,,,,,31.0,,AREA-C SURULERE,2016
Manslaughter,2.0,,2.0,3.0,,,,,,2.0,,AREA-C SURULERE,2016
Attempted Murder,6.0,,6.0,5.0,1.0,1.0,,,,,2.0,AREA-C SURULERE,2016
Suicide,5.0,,5.0,,,,,,,5.0,,AREA-C SURULERE,2016
Attempted Suicide,2.0,,2.0,4.0,,,,,,,,AREA-C SURULERE,2016
Grievous Harm and Wounding,450.0,41.0,409.0,300.0,26.0,10.0,4.0,,,1.0,30.0,AREA-C SURULERE,2016
Assaults,750.0,61.0,689.0,500.0,36.0,6.0,7.0,1.0,,,40.0,AREA-C SURULERE,2016
Child stealing,8.0,2.0,6.0,6.0,2.0,,,,,,,AREA-C SURULERE,2016
Slave Dealing,9.0,1.0,8.0,12.0,1.0,1.0,,,,,,AREA-C SURULERE,2016
Rape and Incident Assault,50.0,8.0,42.0,50.0,3.0,2.0,,,,,2.0,AREA-C SURULERE,2016
Kidnapping,8.0,1.0,7.0,9.0,2.0,,,,,,,AREA-C SURULERE,2016
Unnatural Offences,20.0,5.0,15.0,25.0,6.0,1.0,,,,,2.0,AREA-C SURULERE,2016
Other Offences,250.0,32.0,218.0,240.0,13.0,6.0,1.0,,,2.0,5.0,AREA-C SURULERE,2016
Armed Robbery,24.0,,24.0,30.0,5.0,,,,,1.0,4.0,AREA-C SURULERE,2016
Demanding With Menance,50.0,3.0,47.0,60.0,4.0,4.0,,,,,,AREA-C SURULERE,2016
Theft and other Stealing,800.0,80.0,720.0,770.0,30.0,5.0,,,,,43.0,AREA-C SURULERE,2016
Burglary,113.0,10.0,103.0,85.0,9.0,3.0,,,,,,AREA-C SURULERE,2016
House Breaking,69.0,9.0,60.0,70.0,8.0,4.0,,,,,,AREA-C SURULERE,2016
Store Breaking,40.0,2.0,38.0,55.0,5.0,2.0,,,,,2.0,AREA-C SURULERE,2016
"False Pretences, Cheating",400.0,34.0,366.0,380.0,15.0,3.0,1.0,,,,,AREA-C SURULERE,2016
Forgery,30.0,4.0,26.0,40.0,5.0,1.0,,,,,,AREA-C SURULERE,2016
Receiving Stolen Property,12.0,3.0,9.0,14.0,70.0,8.0,4.0,,,,2.0,AREA-C SURULERE,2016
Unlawful Possession,80.0,10.0,70.0,103.0,8.0,1.0,,,,,,AREA-C SURULERE,2016
Arson,30.0,5.0,25.0,20.0,2.0,1.0,,,,,,AREA-C SURULERE,2016
Other Offences,190.0,20.0,170.0,180.0,10.0,5.0,1.0,,,,18.0,AREA-C SURULERE,2016
Forgery of Currency Notes,15.0,3.0,12.0,17.0,1.0,,,,,,,AREA-C SURULERE,2016
Coining Offences,2.0,,2.0,3.0,2.0,,,,,,,AREA-C SURULERE,2016
Gambling,8.0,1.0,7.0,12.0,4.0,,,,,,,AREA-C SURULERE,2016
Breach of Public Peace,550.0,40.0,510.0,500.0,21.0,4.0,2.0,,,,6.0,AREA-C SURULERE,2016
Perjury,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2016
Bribery and Corruption,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2016
Escape from Lawful Custody,7.0,,7.0,7.0,1.0,,,,,,,AREA-C SURULERE,2016
Other Offences,45.0,8.0,37.0,53.0,5.0,1.0,1.0,,,,,AREA-C SURULERE,2016
Offences Against Traffic Acts,30.0,7.0,23.0,20.0,5.0,,,,,,,AREA-C SURULERE,2016
Offences Against Township Acts,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-C SURULERE,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-C SURULERE,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-C SURULERE,2016
Narcotics,1.0,,1.0,2.0,,,,,,,,AREA-C SURULERE,2016
Other Offences,,,,,,,,,,,,AREA-C SURULERE,2016
Murder,35.0,1.0,34.0,50.0,3.0,,,,,38.0,,AREA-D MUSHIN,2016
Manslaughter,4.0,,4.0,5.0,1.0,,,,,4.0,,AREA-D MUSHIN,2016
Attempted Murder,14.0,1.0,13.0,12.0,1.0,,,,,,,AREA-D MUSHIN,2016
Suicide,12.0,1.0,11.0,,,,,,,11.0,,AREA-D MUSHIN,2016
Attempted Suicide,5.0,,5.0,4.0,1.0,,,,,,,AREA-D MUSHIN,2016
Grievous Harm and Wounding,900.0,85.0,815.0,700.0,56.0,10.0,3.0,,,3.0,73.0,AREA-D MUSHIN,2016
Assaults,1389.0,114.0,1275.0,1100.0,88.0,2.0,4.0,,,,50.0,AREA-D MUSHIN,2016
Child stealing,13.0,2.0,11.0,14.0,1.0,,,,,,,AREA-D MUSHIN,2016
Slave Dealing,30.0,,30.0,34.0,2.0,1.0,,,,,,AREA-D MUSHIN,2016
Rape and Incident Assault,98.0,10.0,88.0,74.0,3.0,2.0,,,,,2.0,AREA-D MUSHIN,2016
Kidnapping,19.0,2.0,17.0,20.0,4.0,1.0,,,,,,AREA-D MUSHIN,2016
Unnatural Offences,100.0,11.0,89.0,85.0,4.0,2.0,1.0,,,1.0,6.0,AREA-D MUSHIN,2016
Other Offences,533.0,62.0,471.0,535.0,25.0,4.0,2.0,,,5.0,10.0,AREA-D MUSHIN,2016
