CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Armed Robbery,40.0,1.0,39.0,45.0,5.0,,,,,6.0,7.0,AREA-D MUSHIN,2016
Demanding With Menance,101.0,6.0,95.0,107.0,8.0,4.0,1.0,1.0,,,,AREA-D MUSHIN,2016
Theft and other Stealing,1691.0,130.0,1561.0,1726.0,79.0,12.0,1.0,,,,80.0,AREA-D MUSHIN,2016
Burglary,225.0,14.0,211.0,167.0,13.0,2.0,,,,,,AREA-D MUSHIN,2016
House Breaking,115.0,10.0,105.0,112.0,6.0,4.0,,,,,,AREA-D MUSHIN,2016
Store Breaking,96.0,11.0,85.0,94.0,5.0,1.0,,,,,3.0,AREA-D MUSHIN,2016
"False Pretences, Cheating",850.0,70.0,780.0,836.0,10.0,6.0,1.0,,,,,AREA-D MUSHIN,2016
Forgery,65.0,6.0,59.0,75.0,5.0,1.0,,,,,,AREA-D MUSHIN,2016
Receiving Stolen Property,20.0,5.0,15.0,30.0,3.0,,,,,,,AREA-D MUSHIN,2016
Unlawful Possession,160.0,10.0,150.0,190.0,8.0,1.0,1.0,,,,,AREA-D MUSHIN,2016
Arson,50.0,8.0,42.0,33.0,3.0,1.0,,,,1.0,,AREA-D MUSHIN,2016
Other Offences,407.0,45.0,362.0,427.0,14.0,5.0,1.0,,,,14.0,AREA-D MUSHIN,2016
Forgery of Currency Notes,19.0,2.0,17.0,22.0,2.0,,,,,,,AREA-D MUSHIN,2016
Coining Offences,3.0,,3.0,2.0,,,,,,,,AREA-D MUSHIN,2016
Gambling,9.0,1.0,8.0,12.0,3.0,,,,,,,AREA-D MUSHIN,2016
Breach of Public Peace,988.0,77.0,911.0,1027.0,28.0,14.0,1.0,1.0,,,9.0,AREA-D MUSHIN,2016
Perjury,7.0,1.0,6.0,10.0,1.0,,,,,,,AREA-D MUSHIN,2016
Bribery and Corruption,2.0,,2.0,4.0,1.0,,,,,,,AREA-D MUSHIN,2016
Escape from Lawful Custody,18.0,1.0,17.0,19.0,1.0,,,,,,,AREA-D MUSHIN,2016
Other Offences,95.0,10.0,85.0,100.0,7.0,1.0,1.0,,,,5.0,AREA-D MUSHIN,2016
Offences Against Traffic Acts,44.0,,44.0,40.0,5.0,,,,,,,AREA-D MUSHIN,2016
Offences Against Township Acts,1.0,,1.0,2.0,,,,,,,,AREA-D MUSHIN,2016
Offences Against Liquor Acts,2.0,1.0,1.0,2.0,,,,,,,,AREA-D MUSHIN,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-D MUSHIN,2016
Offences Against Fire Arms Acts,2.0,,2.0,2.0,,,,,,,,AREA-D MUSHIN,2016
Narcotics,2.0,,2.0,6.0,,,,,,,,AREA-D MUSHIN,2016
Other Offences,7.0,,7.0,7.0,,,,,,,,AREA-D MUSHIN,2016
Murder,14.0,,14.0,14.0,1.0,,,,,16.0,,AREA-E FESTAC,2016
Manslaughter,,,,,,,,,,,,AREA-E FESTAC,2016
Attempted Murder,4.0,,4.0,4.0,,,,,,4.0,,AREA-E FESTAC,2016
Suicide,2.0,,2.0,,,,,,,2.0,,AREA-E FESTAC,2016
Attempted Suicide,,,,,,,,,,,,AREA-E FESTAC,2016
Grievous Harm and Wounding,480.0,40.0,440.0,410.0,30.0,8.0,2.0,,,,40.0,AREA-E FESTAC,2016
Assaults,800.0,60.0,740.0,800.0,60.0,2.0,1.0,,,,30.0,AREA-E FESTAC,2016
Child stealing,10.0,1.0,9.0,10.0,2.0,,,,,,,AREA-E FESTAC,2016
Slave Dealing,11.0,,11.0,13.0,2.0,,,,,,,AREA-E FESTAC,2016
Rape and Incident Assault,50.0,2.0,48.0,50.0,1.0,,,,,,,AREA-E FESTAC,2016
Kidnapping,2.0,,2.0,3.0,2.0,,,,,,,AREA-E FESTAC,2016
Unnatural Offences,15.0,3.0,12.0,16.0,2.0,1.0,,,,,,AREA-E FESTAC,2016
Other Offences,330.0,30.0,300.0,340.0,12.0,2.0,,,,,5.0,AREA-E FESTAC,2016
Armed Robbery,15.0,,15.0,18.0,2.0,1.0,,,,,3.0,AREA-E FESTAC,2016
Demanding With Menance,60.0,1.0,59.0,60.0,2.0,1.0,,,,,,AREA-E FESTAC,2016
Theft and other Stealing,1250.0,60.0,1190.0,1300.0,40.0,5.0,,,,,60.0,AREA-E FESTAC,2016
Burglary,140.0,5.0,135.0,100.0,5.0,,,,,,,AREA-E FESTAC,2016
House Breaking,70.0,3.0,67.0,73.0,6.0,1.0,,,,,,AREA-E FESTAC,2016
Store Breaking,50.0,1.0,49.0,60.0,2.0,,,,,,,AREA-E FESTAC,2016
"False Pretences, Cheating",520.0,40.0,480.0,550.0,20.0,,,,,,,AREA-E FESTAC,2016
Forgery,40.0,,40.0,45.0,2.0,,,,,,,AREA-E FESTAC,2016
Receiving Stolen Property,6.0,1.0,5.0,12.0,1.0,,,,,,,AREA-E FESTAC,2016
Unlawful Possession,100.0,6.0,94.0,130.0,5.0,,,,,,,AREA-E FESTAC,2016
Arson,26.0,,26.0,15.0,1.0,,,,,,,AREA-E FESTAC,2016
Other Offences,260.0,20.0,240.0,280.0,7.0,2.0,,,,,10.0,AREA-E FESTAC,2016
Forgery of Currency Notes,10.0,1.0,9.0,12.0,1.0,,,,,,,AREA-E FESTAC,2016
Coining Offences,,,,,,,,,,,,AREA-E FESTAC,2016
Gambling,5.0,,5.0,5.0,1.0,,,,,,,AREA-E FESTAC,2016
Breach of Public Peace,510.0,35.0,475.0,530.0,20.0,2.0,,,,,,AREA-E FESTAC,2016
Perjury,4.0,1.0,3.0,5.0,,,,,,,,AREA-E FESTAC,2016
Bribery and Corruption,,,,,,,,,,,,AREA-E FESTAC,2016
Escape from Lawful Custody,3.0,,3.0,4.0,,,,,,,,AREA-E FESTAC,2016
Other Offences,60.0,3.0,57.0,60.0,4.0,1.0,,,,,,AREA-E FESTAC,2016
Offences Against Traffic Acts,30.0,2.0,28.0,20.0,1.0,,,,,,,AREA-E FESTAC,2016
Offences Against Township Acts,,,,,,,,,,,,AREA-E FESTAC,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-E FESTAC,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-E FESTAC,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-E FESTAC,2016
Narcotics,,,,,,,,,,,,AREA-E FESTAC,2016
Other Offences,2.0,,2.0,2.0,,,,,,,,AREA-E FESTAC,2016
Murder,10.0,,10.0,10.0,1.0,,,,,12.0,,AREA-F IKEJA,2016
Manslaughter,,,,,,,,,,,,AREA-F IKEJA,2016
Attempted Murder,,,,,,,,,,,,AREA-F IKEJA,2016
Suicide,2.0,,2.0,,,,,,,2.0,,AREA-F IKEJA,2016
Attempted Suicide,,,,,,,,,,,,AREA-F IKEJA,2016
Grievous Harm and Wounding,220.0,30.0,190.0,230.0,15.0,5.0,1.0,,,,25.0,AREA-F IKEJA,2016
Assaults,300.0,20.0,280.0,300.0,30.0,2.0,1.0,,,,20.0,AREA-F IKEJA,2016
Child stealing,4.0,1.0,3.0,4.0,1.0,,,,,,,AREA-F IKEJA,2016
Slave Dealing,4.0,,4.0,5.0,,,,,,,,AREA-F IKEJA,2016
Rape and Incident Assault,25.0,3.0,22.0,25.0,2.0,,,,,,,AREA-F IKEJA,2016
Kidnapping,1.0,,1.0,2.0,1.0,,,,,,,AREA-F IKEJA,2016
Unnatural Offences,10.0,2.0,8.0,11.0,1.0,,,,,,,AREA-F IKEJA,2016
Other Offences,150.0,20.0,130.0,160.0,8.0,2.0,,,,,,AREA-F IKEJA,2016
Armed Robbery,10.0,,10.0,12.0,1.0,,,,,,,AREA-F IKEJA,2016
Demanding With Menance,30.0,,30.0,30.0,2.0,,,,,,,AREA-F IKEJA,2016
Theft and other Stealing,980.0,50.0,930.0,980.0,20.0,5.0,,,,,,AREA-F IKEJA,2016
Burglary,60.0,5.0,55.0,60.0,5.0,,,,,,40.0,AREA-F IKEJA,2016
House Breaking,30.0,2.0,28.0,30.0,2.0,,,,,,,AREA-F IKEJA,2016
Store Breaking,20.0,,20.0,25.0,,,,,,,,AREA-F IKEJA,2016
"False Pretences, Cheating",300.0,40.0,260.0,300.0,20.0,,,,,,,AREA-F IKEJA,2016
Forgery,20.0,,20.0,25.0,1.0,,,,,,,AREA-F IKEJA,2016
Receiving Stolen Property,6.0,1.0,5.0,10.0,1.0,,,,,,,AREA-F IKEJA,2016
Unlawful Possession,50.0,4.0,46.0,60.0,2.0,,,,,,,AREA-F IKEJA,2016
Arson,10.0,,10.0,8.0,1.0,,,,,,,AREA-F IKEJA,2016
Other Offences,190.0,15.0,175.0,200.0,4.0,,,,,,5.0,AREA-F IKEJA,2016
Forgery of Currency Notes,5.0,,5.0,6.0,,,,,,,,AREA-F IKEJA,2016
Coining Offences,,,,,,,,,,,,AREA-F IKEJA,2016
Gambling,1.0,,1.0,1.0,,,,,,,,AREA-F IKEJA,2016
Breach of Public Peace,250.0,20.0,230.0,240.0,10.0,2.0,,,,,,AREA-F IKEJA,2016
Perjury,1.0,,1.0,3.0,2.0,,,,,,,AREA-F IKEJA,2016
Bribery and Corruption,,,,,,,,,,,,AREA-F IKEJA,2016
Escape from Lawful Custody,1.0,,1.0,1.0,,,,,,,,AREA-F IKEJA,2016
Other Offences,30.0,2.0,28.0,30.0,4.0,,,,,,,AREA-F IKEJA,2016
Offences Against Traffic Acts,20.0,,20.0,20.0,2.0,,,,,,,AREA-F IKEJA,2016
Offences Against Township Acts,,,,,,,,,,,,AREA-F IKEJA,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-F IKEJA,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-F IKEJA,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-F IKEJA,2016
Narcotics,,,,,,,,,,,,AREA-F IKEJA,2016
Other Offences,1.0,,1.0,1.0,,,,,,,,AREA-F IKEJA,2016
Murder,10.0,,10.0,10.0,,,,,,12.0,,AREA-G OGBA,2016
Manslaughter,,,,,,,,,,,,AREA-G OGBA,2016
Attempted Murder,2.0,,2.0,2.0,,,,,,,,AREA-G OGBA,2016
Suicide,1.0,,1.0,,,,,,,1.0,,AREA-G OGBA,2016
Attempted Suicide,,,,,,,,,,,,AREA-G OGBA,2016
Grievous Harm and Wounding,250.0,15.0,235.0,250.0,25.0,2.0,1.0,,,,25.0,AREA-G OGBA,2016
Assaults,600.0,50.0,550.0,600.0,40.0,1.0,1.0,,,,15.0,AREA-G OGBA,2016
Child stealing,3.0,1.0,2.0,3.0,1.0,,,,,,,AREA-G OGBA,2016
Slave Dealing,2.0,,2.0,3.0,,,,,,,,AREA-G OGBA,2016
Rape and Incident Assault,20.0,2.0,18.0,20.0,2.0,,,,,,,AREA-G OGBA,2016
Kidnapping,1.0,,1.0,2.0,,,,,,,,AREA-G OGBA,2016
Unnatural Offences,8.0,,8.0,12.0,2.0,1.0,,1.0,1.0,,,AREA-G OGBA,2016
Other Offences,220.0,15.0,205.0,240.0,10.0,,,,,,5.0,AREA-G OGBA,2016
Armed Robbery,12.0,,12.0,12.0,3.0,,,,,,,AREA-G OGBA,2016
Demanding With Menance,30.0,,30.0,30.0,2.0,1.0,,,,,,AREA-G OGBA,2016
Theft and other Stealing,750.0,30.0,720.0,780.0,20.0,2.0,,,,,30.0,AREA-G OGBA,2016
Burglary,80.0,,80.0,50.0,4.0,,,,,,,AREA-G OGBA,2016
House Breaking,30.0,,30.0,31.0,2.0,,,,,,,AREA-G OGBA,2016
Store Breaking,20.0,,20.0,22.0,,,,,,,,AREA-G OGBA,2016
"False Pretences, Cheating",300.0,10.0,290.0,300.0,15.0,,,,,,,AREA-G OGBA,2016
Forgery,35.0,,35.0,38.0,2.0,,,,,,,AREA-G OGBA,2016
Receiving Stolen Property,7.0,,7.0,18.0,,,,,,,,AREA-G OGBA,2016
Unlawful Possession,70.0,2.0,68.0,90.0,3.0,,,,,,,AREA-G OGBA,2016
Arson,24.0,,24.0,20.0,,,,,,,,AREA-G OGBA,2016
Other Offences,180.0,10.0,170.0,185.0,8.0,,,,,,5.0,AREA-G OGBA,2016
Forgery of Currency Notes,7.0,,7.0,8.0,,,,,,,,AREA-G OGBA,2016
Coining Offences,,,,,,,,,,,,AREA-G OGBA,2016
Gambling,3.0,,3.0,4.0,1.0,,,,,,,AREA-G OGBA,2016
Breach of Public Peace,350.0,30.0,320.0,370.0,15.0,2.0,,,,,,AREA-G OGBA,2016
Perjury,2.0,,2.0,8.0,4.0,,,,,,,AREA-G OGBA,2016
Bribery and Corruption,,,,,,,,,,,,AREA-G OGBA,2016
Escape from Lawful Custody,2.0,,2.0,3.0,,,,,,,,AREA-G OGBA,2016
Other Offences,30.0,2.0,28.0,30.0,2.0,,,,,,4.0,AREA-G OGBA,2016
Offences Against Traffic Acts,15.0,,15.0,15.0,,,,,,,,AREA-G OGBA,2016
Offences Against Township Acts,,,,,,,,,,,,AREA-G OGBA,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-G OGBA,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-G OGBA,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-G OGBA,2016
Narcotics,,,,,,,,,,,,AREA-G OGBA,2016
Other Offences,2.0,,2.0,2.0,,,,,,,,AREA-G OGBA,2016
Murder,18.0,,18.0,19.0,2.0,,,,,20.0,,AREA-H OGUDU,2016
Manslaughter,,,,,,,,,,,,AREA-H OGUDU,2016
Attempted Murder,4.0,,4.0,4.0,1.0,,,,,,,AREA-H OGUDU,2016
Suicide,2.0,,2.0,,,,,,,2.0,,AREA-H OGUDU,2016
Attempted Suicide,,,,,,,,,,,,AREA-H OGUDU,2016
Grievous Harm and Wounding,510.0,80.0,430.0,355.0,80.0,6.0,1.0,,,,50.0,AREA-H OGUDU,2016
Assaults,1000.0,100.0,900.0,1000.0,52.0,2.0,3.0,,,,45.0,AREA-H OGUDU,2016
Child stealing,10.0,2.0,8.0,10.0,2.0,,,,,,,AREA-H OGUDU,2016
Slave Dealing,12.0,,12.0,15.0,3.0,,,,,,,AREA-H OGUDU,2016
Rape and Incident Assault,50.0,6.0,44.0,50.0,2.0,2.0,,,,,,AREA-H OGUDU,2016
Kidnapping,4.0,,4.0,6.0,3.0,,,,,,,AREA-H OGUDU,2016
Unnatural Offences,10.0,3.0,7.0,18.0,2.0,,,,,,,AREA-H OGUDU,2016
