CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Murder,10.0,2.0,8.0,12.0,1.0,1.0,,,,14.0,,AREA-A LION BUILDING,2015
Manslaughter,1.0,,1.0,1.0,,,,,,1.0,,AREA-A LION BUILDING,2015
Attempted Murder,2.0,,2.0,3.0,1.0,,,,,,1.0,AREA-A LION BUILDING,2015
Suicide,1.0,,1.0,,,,,,,3.0,,AREA-A LION BUILDING,2015
Attempted Suicide,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2015
Grievous Harm and Wounding,278.0,27.0,251.0,280.0,76.0,16.0,4.0,1.0,1.0,,50.0,AREA-A LION BUILDING,2015
Assaults,600.0,50.0,550.0,420.0,90.0,18.0,5.0,1.0,1.0,,51.0,AREA-A LION BUILDING,2015
Child stealing,15.0,1.0,14.0,15.0,2.0,1.0,,,,,,AREA-A LION BUILDING,2015
Slave Dealing,2.0,1.0,1.0,3.0,,,,,,,,AREA-A LION BUILDING,2015
Rape and Incident Assault,40.0,3.0,37.0,45.0,12.0,3.0,,,,,,AREA-A LION BUILDING,2015
Kidnapping,8.0,2.0,6.0,14.0,1.0,,,,,,,AREA-A LION BUILDING,2015
Unnatural Offences,15.0,2.0,13.0,10.0,3.0,1.0,1.0,1.0,,,,AREA-A LION BUILDING,2015
Other Offences,200.0,24.0,176.0,135.0,30.0,5.0,1.0,1.0,,,,AREA-A LION BUILDING,2015
Armed Robbery,5.0,,5.0,15.0,2.0,1.0,,,,4.0,3.0,AREA-A LION BUILDING,2015
Demanding With Menance,9.0,1.0,8.0,22.0,2.0,1.0,,,,,1.0,AREA-A LION BUILDING,2015
Theft and other Stealing,619.0,50.0,569.0,500.0,106.0,14.0,1.0,,,,14.0,AREA-A LION BUILDING,2015
Burglary,56.0,6.0,50.0,70.0,18.0,1.0,3.0,,,,2.0,AREA-A LION BUILDING,2015
House Breaking,37.0,7.0,30.0,50.0,5.0,1.0,,,,,2.0,AREA-A LION BUILDING,2015
Store Breaking,30.0,2.0,28.0,35.0,5.0,1.0,,,,,1.0,AREA-A LION BUILDING,2015
"False Pretences, Cheating",301.0,20.0,281.0,600.0,40.0,5.0,1.0,,,,5.0,AREA-A LION BUILDING,2015
Forgery,30.0,5.0,25.0,30.0,7.0,1.0,,,,,,AREA-A LION BUILDING,2015
Receiving Stolen Property,43.0,1.0,42.0,40.0,1.0,,,,,,,AREA-A LION BUILDING,2015
Unlawful Possession,73.0,3.0,70.0,50.0,41.0,2.0,1.0,,,,4.0,AREA-A LION BUILDING,2015
Arson,15.0,3.0,12.0,12.0,3.0,,,,,,3.0,AREA-A LION BUILDING,2015
Other Offences,160.0,11.0,149.0,129.0,23.0,7.0,3.0,1.0,,,10.0,AREA-A LION BUILDING,2015
Forgery of Currency Notes,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2015
Coining Offences,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2015
Gambling,4.0,,4.0,5.0,1.0,,,,,,2.0,AREA-A LION BUILDING,2015
Breach of Public Peace,230.0,26.0,204.0,244.0,216.0,32.0,5.0,8.0,,,25.0,AREA-A LION BUILDING,2015
Perjury,65.0,2.0,63.0,40.0,8.0,,,,,,,AREA-A LION BUILDING,2015
Bribery and Corruption,,,,,,,,,,,,AREA-A LION BUILDING,2015
Escape from Lawful Custody,2.0,,2.0,5.0,,,,,,,,AREA-A LION BUILDING,2015
Other Offences,190.0,13.0,177.0,88.0,15.0,6.0,1.0,1.0,,,2.0,AREA-A LION BUILDING,2015
Offences Against Traffic Acts,20.0,2.0,18.0,30.0,8.0,1.0,,,,,5.0,AREA-A LION BUILDING,2015
Offences Against Township Acts,,,,,,,,,,,,AREA-A LION BUILDING,2015
Offences Against Liquor Acts,,,,,,,,,,,,AREA-A LION BUILDING,2015
Offences Against Dog Acts,,,,,,,,,,,,AREA-A LION BUILDING,2015
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-A LION BUILDING,2015
Narcotics,1.0,,1.0,1.0,1.0,,,,,,,AREA-A LION BUILDING,2015
Other Offences,,,,,,,,,,,,AREA-A LION BUILDING,2015
Murder,15.0,1.0,14.0,20.0,2.0,1.0,,,,16.0,,AREA-B APAPA,2015
Manslaughter,1.0,,1.0,1.0,1.0,,,,,1.0,,AREA-B APAPA,2015
Attempted Murder,7.0,1.0,6.0,7.0,1.0,,,,,,1.0,AREA-B APAPA,2015
Suicide,5.0,1.0,4.0,,,,,,,4.0,,AREA-B APAPA,2015
Attempted Suicide,1.0,,1.0,1.0,1.0,,,,,,,AREA-B APAPA,2015
Grievous Harm and Wounding,370.0,40.0,330.0,261.0,28.0,5.0,4.0,1.0,1.0,,49.0,AREA-B APAPA,2015
